Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-22 09:30:00-04:00,95.41099548339844,96.01799774169922,94.0719985961914,94.7509994506836,8360208,0.0,0.0
2024-05-22 10:00:00-04:00,94.77000427246094,95.18090057373047,94.30101013183594,94.45449829101562,3421853,0.0,0.0
2024-05-22 10:30:00-04:00,94.44599914550781,94.81700134277344,94.32301330566406,94.80622100830078,1971086,0.0,0.0
2024-05-22 11:00:00-04:00,94.81099700927734,95.03878021240234,94.75300598144531,95.02799987792969,1745409,0.0,0.0
2024-05-22 11:30:00-04:00,95.02799987792969,95.03900146484375,94.44000244140625,94.7109603881836,1660656,0.0,0.0
2024-05-22 12:00:00-04:00,94.70899963378906,95.18000030517578,94.61711883544922,94.98167419433594,1970427,0.0,0.0
2024-05-22 12:30:00-04:00,94.97100067138672,95.11500549316406,94.74699401855469,94.875,1657538,0.0,0.0
2024-05-22 13:00:00-04:00,94.88099670410156,95.01300048828125,94.77999877929688,94.89099884033203,1377346,0.0,0.0
2024-05-22 13:30:00-04:00,94.88200378417969,94.89344024658203,93.6510009765625,94.05699920654297,3731992,0.0,0.0
2024-05-22 14:00:00-04:00,94.01100158691406,94.39799499511719,93.2490005493164,93.41300964355469,3637080,0.0,0.0
2024-05-22 14:30:00-04:00,93.41500091552734,94.01499938964844,93.30400085449219,93.95510864257812,2569368,0.0,0.0
2024-05-22 15:00:00-04:00,93.95249938964844,94.22100067138672,93.49000549316406,94.21099853515625,2730172,0.0,0.0
2024-05-22 15:30:00-04:00,94.19400024414062,94.95999145507812,94.15999603271484,94.87000274658203,5370151,0.0,0.0
2024-05-23 09:30:00-04:00,102.0,104.25999450683594,101.52000427246094,102.75899505615234,21035955,0.0,0.0
2024-05-23 10:00:00-04:00,102.75899505615234,104.26700592041016,102.65699768066406,104.2280044555664,7288862,0.0,0.0
2024-05-23 10:30:00-04:00,104.22249603271484,104.72700500488281,103.53800201416016,103.572998046875,6570876,0.0,0.0
2024-05-23 11:00:00-04:00,103.56001281738281,104.69499206542969,103.52000427246094,104.59449768066406,3924859,0.0,0.0
2024-05-23 11:30:00-04:00,104.5999984741211,105.19599914550781,104.56600189208984,104.69620513916016,4529129,0.0,0.0
2024-05-23 12:00:00-04:00,104.67350006103516,105.18050384521484,104.41099548339844,105.15699768066406,2915693,0.0,0.0
2024-05-23 12:30:00-04:00,105.15879821777344,105.49699401855469,105.0,105.35799407958984,3045563,0.0,0.0
2024-05-23 13:00:00-04:00,105.3580093383789,105.9739990234375,105.23399353027344,105.94998931884766,2915370,0.0,0.0
2024-05-23 13:30:00-04:00,105.93399810791016,106.31999206542969,104.63600158691406,104.73406982421875,5162316,0.0,0.0
2024-05-23 14:00:00-04:00,104.70999908447266,104.86000061035156,103.67000579833984,104.00140380859375,5216006,0.0,0.0
2024-05-23 14:30:00-04:00,104.0,104.33299255371094,102.9000015258789,103.38999938964844,4834306,0.0,0.0
2024-05-23 15:00:00-04:00,103.38199615478516,103.90999603271484,102.00300598144531,102.54447174072266,5786512,0.0,0.0
2024-05-23 15:30:00-04:00,102.56199645996094,104.19999694824219,102.56199645996094,103.82099914550781,6101258,0.0,0.0
2024-05-24 09:30:00-04:00,104.51800537109375,104.72798919677734,103.0,104.33699798583984,9499006,0.0,0.0
2024-05-24 10:00:00-04:00,104.3759994506836,104.66398620605469,103.51100158691406,103.97283935546875,3847193,0.0,0.0
2024-05-24 10:30:00-04:00,104.0,104.86399841308594,103.875,104.74537658691406,2972353,0.0,0.0
2024-05-24 11:00:00-04:00,104.75858306884766,104.99100494384766,104.5009994506836,104.68900299072266,2650737,0.0,0.0
2024-05-24 11:30:00-04:00,104.69876861572266,104.86600494384766,104.06219482421875,104.38199615478516,1982793,0.0,0.0
2024-05-24 12:00:00-04:00,104.38800048828125,104.62825012207031,104.18299865722656,104.5685043334961,1461774,0.0,0.0
2024-05-24 12:30:00-04:00,104.58290100097656,104.99300384521484,104.51900482177734,104.75936126708984,2508905,0.0,0.0
2024-05-24 13:00:00-04:00,104.7535171508789,104.92698669433594,104.510009765625,104.80400085449219,1458141,0.0,0.0
2024-05-24 13:30:00-04:00,104.8010025024414,105.35099792480469,104.7750015258789,105.1910171508789,2341274,0.0,0.0
2024-05-24 14:00:00-04:00,105.18900299072266,105.78900146484375,105.1510009765625,105.53700256347656,2461327,0.0,0.0
2024-05-24 14:30:00-04:00,105.5479965209961,105.55000305175781,105.1510009765625,105.41949462890625,1878047,0.0,0.0
2024-05-24 15:00:00-04:00,105.4000015258789,106.1709976196289,105.125,105.957763671875,2883596,0.0,0.0
2024-05-24 15:30:00-04:00,105.9489974975586,106.4749984741211,105.7699966430664,106.4380111694336,4048131,0.0,0.0
2024-05-28 09:30:00-04:00,110.2280044555664,112.1619873046875,109.88700103759766,111.65550231933594,13891072,0.0,0.0
2024-05-28 10:00:00-04:00,111.656005859375,111.7800064086914,110.87800598144531,111.4000015258789,4632641,0.0,0.0
2024-05-28 10:30:00-04:00,111.40776062011719,112.4000015258789,111.3219985961914,112.1449966430664,3997532,0.0,0.0
2024-05-28 11:00:00-04:00,112.15899658203125,112.23698425292969,111.5469970703125,112.16400146484375,3094502,0.0,0.0
2024-05-28 11:30:00-04:00,112.16072845458984,112.58799743652344,111.9699935913086,112.52900695800781,3025180,0.0,0.0
2024-05-28 12:00:00-04:00,112.53599548339844,113.2699966430664,112.45799255371094,112.58799743652344,3894200,0.0,0.0
2024-05-28 12:30:00-04:00,112.60530090332031,114.0770034790039,112.59000396728516,113.8565673828125,4298625,0.0,0.0
